date,count,username,secretion_type
2023-04-25,1,HelloImNavy,"0"
2023-04-25,2,Jotajotahs,"0"
2023-04-25,3,Thybak,"0"
2023-04-25,2,Zeonx91,"0"
2023-04-25,2,quimikuaxh,"0"
2023-04-26,2,AntiaMsv,"0"
2023-04-26,1,HelloImNavy,"0"
2023-04-26,3,Zeonx91,"0"
2023-04-26,2,esloooz,"0"
2023-04-26,1,quimikuaxh,"0"
2023-04-27,1,AntiaMsv,"0"
2023-04-27,1,Jotajotahs,"0"
2023-04-27,2,Thybak,"0"
2023-04-27,1,Zeonx91,"0"
2023-04-27,1,quimikuaxh,"0"
2023-04-28,1,HelloImNavy,"0"
2023-04-28,1,Jotajotahs,"0"
2023-04-28,2,Thybak,"0"
2023-04-28,1,Zeonx91,"0"
2023-04-28,2,quimikuaxh,"0"
2023-04-29,1,HelloImNavy,"0"
2023-04-29,1,Jotajotahs,"0"
2023-04-29,2,Zeonx91,"0"
2023-04-29,1,esloooz,"0"
2023-04-29,1,quimikuaxh,"0"
2023-04-30,2,AntiaMsv,"0"
2023-04-30,1,HelloImNavy,"0"
2023-04-30,2,Thybak,"0"
2023-04-30,1,Zeonx91,"0"
2023-04-30,1,quimikuaxh,"0"
2023-05-01,1,AntiaMsv,"0"
2023-05-01,2,HelloImNavy,"0"
2023-05-01,2,Thybak,"0"
2023-05-01,1,Zeonx91,"0"
2023-05-01,2,esloooz,"0"
2023-05-01,1,quimikuaxh,"0"
2023-05-02,4,AntiaMsv,"0"
2023-05-02,2,HelloImNavy,"0"
2023-05-02,1,Jotajotahs,"0"
2023-05-02,2,Thybak,"0"
2023-05-02,1,Zeonx91,"0"
2023-05-02,2,esloooz,"0"
2023-05-02,2,quimikuaxh,"0"
2023-05-03,1,AntiaMsv,"0"
2023-05-03,1,HelloImNavy,"0"
2023-05-03,1,Jotajotahs,"0"
2023-05-03,3,Thybak,"0"
2023-05-03,1,Zeonx91,"0"
2023-05-03,1,quimikuaxh,"0"
2023-05-04,1,HelloImNavy,"0"
2023-05-04,2,Thybak,"0"
2023-05-04,1,Zeonx91,"0"
2023-05-04,1,esloooz,"0"
2023-05-04,2,quimikuaxh,"0"
